teste1,0,6,0,6,0,4,2,6,2,4,2,2,0,0,0,0,105,1790,118,58,130,
teste1,0,6,0,6,0,4,2,6,2,4,2,2,0,0,0,0,105,1790,118,58,130,
teste2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,90,90,10,
teste2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,90,90,10,
tttt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
tttt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,90,90,10,
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,90,90,10,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,90,90,10,
